Date,SPX Index,RTY Index,NDX Index,INDU Index,S5FINL Index,S5INFT Index,S5HLTH Index,S5TELS Index,S5INDU Index,S5COND Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5RLST Index,S5UTIL Index,MXWD Index,MXWDEWGT Index,MXWO Index,MXEA Index,SX5E Index,SXXP Index,UKX Index,NKY Index,TPX Index,SPTSX60 Index,DAX Index,CAC Index,AEX Index,FTSEMIB Index,IBEX Index,OMX Index,AS51 Index,MXEF Index,XIN9I Index,HSI Index,KOSPI Index,TWSE Index,SENSEX Index,MXLA Index,WN1 Comdty,UXY1 Comdty,TY1 Comdty,FV1 Comdty,TU1 Comdty,CN1 Comdty,UB1 Comdty,RX1 Comdty,OE1 Comdty,DU1 Comdty,OAT1 Comdty,G 1 Comdty,IK1 Comdty,JB1 Comdty,XM1 Comdty,TFT1 Comdty,DW1 Comdty,KAA1 Comdty,LEGATRUH Index,LGTRTRUH Index,H03454US Index,H03450US Index,LGCPTRUH Index,LG30TRUH Index,LG20TRUH Index,LUATTRUU Index,EURUSD Curncy,JPYUSD Curncy,GBPUSD Curncy,CHFUSD Curncy,SEKUSD Curncy,CADUSD Curncy,AD1 Curncy,NZDUSD Curncy,CNYUSD Curncy,BRLUSD Curncy,MXNUSD Curncy,KRWUSD Curncy,CL1 Comdty,HG1 Comdty,NG1 Comdty,GC1 Comdty,SI1 Comdty,PL1 Comdty,SCO1 Comdty,PA1 Comdty,C 1 Comdty,W 1 Comdty,S 1 Comdty,VIX Index
Date,S&P500,R.2000,NASDAQ,Dow,Financial,Technology,Health Care,Communication,Industrial,Con. Disc,Con. Staples,Energy,Material,Real Estate,Utilities,ACWI,ACWI (EW),MSCI World,MSCI EAFE,EUROSTOXX50,STOXX600,FTSE100,Nikkei225,Topix,TSX60,DAX,CAC40,AEX,FTSE MIB,IBEX35,OMXS30,ASX200,MSCI EM,China A50,HangSeng,Kospi,TAIEX,SENSEX,MSCI Latin,US 30Y,US Ultra 10Y,US 10Y,US 5Y,US 2Y,Canada 10Y,Germany 30Y,Germany 10Y,Germany 5Y,Germany 2Y,France 10Y,UK 10Y,Italy 10Y,Japan 10Y,Australia 10Y,China 10Y,Mexico 10Y,Korea 10Y,Bbg Global Agg,Bbg Global Treasury,Bbg Global Treasury LT,Bbg Global Treasury ST,Bbg Global Corporate,Bbg Global HY,Bbg EM USD,Bbg US Treasury,EUR,JPY,GBP,CHF,SEK,CAD,AUD,NZD,CNY,BRL,MXN,KRW,WTI,Copper,Natural Gas(US),Gold,Silver,Platinum,Iron Ore,Palladium,Corn,Wheat,Soybean,VIX
1999-12-30,1464.47,497.243,3683.67,11452.86,321.4,806.38,330.33,319.95,271.66,295.6094,208.28,210.93,157.41,,142.47,341.16,1338.24,1419.18,1760.04,4904.46,379.49,6930.2,18934.34,1722.2,496.64,6958.14,5958.32,671.41,42605.0,11641.4,1198.97,3117.7,487.23,,16962.1,1028.07,8448.84,5005.82,1121.89,,,96.265625,98.32813,99.4375,119.12,99.6,104.14,103.32,102.7,,111.41,,132.81,92.99,,,,216.8599,,,,,107.871,,961.19,1.0087,0.009758,1.6154,0.6278,0.11726,0.6883,65.46,0.5231,0.12078,0.556,0.10532,0.08827,25.6,86.3,2.329,289.6,5.453,430.2,,449.2,204.5,248.5,461.75,24.76
1999-12-31,1469.25,505.397,3707.83,11497.12,321.72,807.44,326.78,322.81,273.38,299.3063,208.05,212.72,159.96,,142.43,341.63,1340.09,1420.89,1760.04,4904.46,379.49,6930.2,18934.34,1722.2,495.86,6958.14,5958.32,671.41,42605.0,11641.4,1198.97,3117.7,489.42,,16962.1,1028.07,8448.84,5005.82,1121.89,,,95.859375,98.015625,99.3046875,118.5,99.6,104.14,103.32,102.7,,111.41,,132.81,92.945,,,,216.6239,,,,,110.5987,,958.37,1.0062,0.009755,1.6182,0.6287,0.11741,0.6915,65.83,0.5213,0.12078,0.5559,0.10521,0.08771,25.6,86.3,2.329,289.6,5.453,430.2,,449.2,204.5,248.5,461.75,24.64
2000-01-03,1455.22,498.122,3790.55,11357.51,307.2,829.18,325.12,319.06,265.61,291.3933,204.23,206.58,157.24,,138.75,342.16,1352.02,1422.18,1774.13,4849.22,377.69,6930.2,18934.34,1722.2,495.86,6750.76,5917.37,675.44,41226.0,11610.0,1211.79,3117.7,496.22,,17369.63,1028.07,8448.84,5375.11,1116.47,,,95.078125,97.59375,99.0859375,118.5,98.31,103.32,102.96,102.47,,111.41,,132.81,92.945,,,,216.6239,,,,,110.5987,,953.47,1.0243,0.009857,1.6362,0.6382,0.11938,0.6912,66.21,0.525,0.12077,0.5498,0.10637,0.08869,25.6,86.3,2.329,289.6,5.453,430.2,,449.2,200.75,247.5,456.5,24.21
2000-01-04,1399.42,479.035,3546.2,10997.94,294.54,783.43,312.78,304.94,257.24,282.7505,201.13,202.38,154.75,,138.91,332.3,1344.92,1378.31,1735.47,4657.83,362.7,6665.9,19002.86,1717.47,484.07,6586.95,5672.02,642.25,40314.0,11206.6,1182.03,3093.7,500.38,,17072.82,1059.04,8756.55,5491.01,1050.57,,,95.5625,97.921875,99.2109375,117.5,98.26,103.16,102.97,102.49,,109.9,,132.05,92.785,,,,216.6239,,,,,110.5987,,957.56,1.0296,0.009685,1.636,0.6421,0.11932,0.6884,65.61,0.5194,0.12077,0.5403,0.10448,0.0891,25.55,84.8,2.176,283.7,5.375,429.7,,441.9,203.0,247.25,464.25,27.01
2000-01-05,1402.11,479.457,3507.31,11122.66,292.56,775.09,319.65,309.15,257.2,280.0653,201.84,208.56,160.88,,144.08,327.68,1329.36,1359.54,1684.76,4541.75,353.74,6535.9,18542.55,1651.84,478.5,6502.07,5479.7,632.31,39452.0,10863.1,1131.3,3018.7,491.09,,15846.72,986.31,8849.87,5357.0,1064.78,,,94.875,97.546875,99.078125,116.57,97.8,102.89,102.96,102.49,,109.2,,132.45,92.905,,,,216.6239,,,,,110.5987,,953.2,1.0321,0.009604,1.6426,0.6457,0.11952,0.6897,65.84,0.5202,0.12077,0.5438,0.10521,0.08814,24.91,85.65,2.168,282.1,5.21,419.9,,438.1,203.0,249.75,469.25,26.41
2000-01-06,1403.45,475.892,3340.81,11253.27,304.09,744.37,328.78,301.35,261.64,281.2764,204.38,218.14,165.6,,146.09,323.97,1328.0,1344.06,1660.76,4500.69,352.21,6447.2,18168.27,1609.59,476.27,6474.92,5450.11,624.21,38835.0,10863.1,1131.3,2999.3,486.04,,15153.23,960.79,8922.03,5421.53,1057.7,,,95.203125,97.71875,99.1484375,117.09,97.36,102.75,102.96,102.5,,109.08,,132.64,92.805,,,,216.6239,,,,,110.5987,,956.22,1.0328,0.009503,1.6474,0.6438,0.11945,0.685,65.57,0.5146,0.12077,0.543,0.10438,0.08724,24.78,85.3,2.196,282.4,5.167,412.0,,435.3,203.75,248.5,468.0,25.73
2000-01-07,1441.47,489.011,3529.6,11522.56,310.73,756.69,354.94,301.17,270.39,290.4922,212.88,220.85,166.97,,148.39,331.45,1346.15,1375.88,1679.85,4648.27,359.75,6504.8,18193.41,1599.01,496.97,6780.96,5539.61,644.86,40194.0,11102.4,1152.54,3023.4,492.1,,15405.63,948.65,8845.47,5414.48,1089.29,,,95.578125,97.9375,99.21875,117.45,98.53,103.59,103.45,102.71,,109.57,,132.2,92.825,,,,216.6239,,,,,110.5987,,958.71,1.0295,0.009493,1.6393,0.6391,0.11881,0.6869,65.61,0.5175,0.12078,0.5474,0.1055,0.08791,24.22,85.4,2.173,282.9,5.195,414.0,,443.9,207.0,251.75,471.5,21.72
2000-01-10,1457.6,502.569,3717.41,11572.2,305.19,788.03,347.81,305.31,270.56,302.3327,210.59,217.7,164.52,,147.42,335.44,1364.02,1391.11,1695.51,4714.03,365.39,6607.7,18193.41,1599.01,503.58,6925.52,5646.12,655.14,39711.0,11173.3,1181.44,3084.0,506.69,,15848.15,987.24,9102.6,5518.39,1128.88,,,95.34375,97.71875,99.109375,117.07,98.59,103.65,103.53,102.73,,110.2,,132.2,92.815,,,,216.6239,,,,,110.5987,,957.12,1.0256,0.009514,1.6374,0.6372,0.11836,0.6869,65.7,0.5158,0.12078,0.551,0.10582,0.08824,24.67,84.65,2.216,282.7,5.19,415.0,,451.95,208.5,253.5,466.25,21.71
2000-01-11,1438.56,493.255,3544.35,11511.09,301.61,768.91,345.3,297.75,268.27,298.2206,212.76,219.11,162.07,,146.77,334.05,1360.05,1386.34,1708.75,4671.5,362.93,6518.9,18850.92,1678.82,495.39,6891.25,5613.9,648.94,39870.0,11012.4,1190.34,3160.8,498.12,,15862.1,981.33,8927.03,5296.3,1103.24,,,94.5625,97.3125,98.9609375,116.76,97.47,102.76,103.07,102.56,,109.5,,132.3,92.755,,,,216.6239,,,,,110.5987,,952.75,1.0336,0.009437,1.6475,0.6417,0.11909,0.6861,65.88,0.518,0.12078,0.5487,0.10512,0.08726,25.77,84.35,2.26,284.4,5.195,413.0,,449.4,207.25,253.75,467.0,22.5
